name,scholarshipType,applicationRequired,description,quantity,preference,faculty,gender,year,disability,indigenous,race,nationality,gpa,amount,gpaBased,medalsPrizes
Leeder Family Memorial Scholarship in Mathematics*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding full-time undergraduate students entering third or fourth year in the Department of Mathematics and Statistics with demonstrated financial need. Preference will be given to students who are from outside the Greater Victoria or Metro Vancouver Regional District areas. Scholarships will be approximately one-half of a student's full-time (minimum 12 units) Winter Session tuition and fees. If awarded to a third year student, the scholarship may be renewed for the recipient's fourth year of full-time studies in the Department of Mathematics and Statistics. To be automatically renewed a student must have completed a total of 12 or more academic units in two terms of study between May and April in the previous academic year and maintained a grade point average of 7.50/9.00 or higher on the best 12 units. A student whose grade point average falls below 7.50/9.00 may file a written appeal with the Senate Committee on Awards to seek special consideration for the renewal of the scholarship.Students registered in co-op or work experience work-term will automatically be renewed when they next complete 12 or more academic units in two terms, provided they have a grade point average of 7.50/9.00 or higher in the two terms. Any student who takes neither a co-op, work experience/work-term, nor academic units for more than one term may forfeit their scholarship.",Varies,"Financial need, from outside Greater Victoria/Metro Vancouver",Mathematics and Statistics,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,7.5,Varies,FALSE,FALSE
Lois M. Smith Athletes' Award*,In-Course,TRUE,"One or more awards are given to undergraduate or graduate full or part-time students who are Canadian citizens and have been identified as international calibre athletes by their national sport governing body. The award is open to student-athletes in any sport but preference will be given to those representing the University and who meet the University's eligibility requirements. Award recipients will be selected on the basis of sporting achievement by the Director of Athletics and Recreation in consultation with the Associate Director, Sport.",Varies,"Canadian citizen, international calibre athlete",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Canadian,Not specified,Varies,FALSE,FALSE
Lucy and Margaret Corbet Scholarship*,In-Course,TRUE,A scholarship is awarded to an academically outstanding undergraduate student who has completed premedical studies at the University of Victoria and is proceeding to medical school in September. Preference is for students with demonstrated financial need. Candidates must provide written acceptance of their entry into an accredited medical school.,1,"Financial need, completed premedical studies",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Maple Reinders Scholarship,In-Course,TRUE,"A scholarship is awarded to an academically outstanding undergraduate student continuing in either the Civil Engineering or Mechanical Engineering program in the Faculty of Engineering and Computer Science. First preference is for students with an interest in construction management or project management. Second preference is for students who are members of groups with historical and/or current barriers to equity, including, but not limited to: First Nations, Métis and Inuit peoples and all other Indigenous peoples; members of groups that commonly experience discrimination due to race, ancestry, colour, religion and/or spiritual beliefs or place of origin. persons with visible and/or invisible (physical and/or mental) disabilities; persons who identify as women; and persons of marginalized sexual orientations, gender identities and gender expressions. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering and Computer Science.",1,"Interest in construction/project management, member of equity-seeking group",Engineering and Computer Science,Not specified,Not specified,Not specified,Indigenous,Groups experiencing discrimination,Not specified,Not specified,Varies,FALSE,FALSE
Marilynne Convey Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate or graduate students in the field of gerontology or students conducting clinical or applied research designed to improve care for the elderly and who are affiliated with the Institute on Aging and Lifelong Health (IALH). Preference will be given to students with financial need and who have demonstrated volunteerism in the community. Students must submit a letter (maximum 350 words) from a volunteer organization outlining their contributions. The scholarship will alternate between graduate and undergraduate students.Undergraduate students apply via the online application by May 31st and graduate students apply to the Institute on Aging and Lifelong Health. Approval of the recipient(s) will be made by the Senate Committee on Awards or the Faculty of Graduate Studies Graduate Awards Committee upon the recommendation of the Institute on Aging and Lifelong Health.,Varies,"Financial need, community volunteerism",Gerontology/Institute on Aging and Lifelong Health,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Mark Krasnick Leadership Award*,In-Course,TRUE,"One or more awards are given to third or fourth year First Nations students in the Faculty of Human & Social Development, the Faculty of Law or the Faculty of Business, who demonstrates leadership in either the First Nations community or within the Faculty. Preference will be given to a British Columbia resident. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Office of Indigenous Affairs.",Varies,"First Nations, leadership",Human & Social Development/Law/Business,Not specified,03-Apr,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Martin and Diana Hocking Scholarship in Chemistry*,In-Course,TRUE,"One or more undergraduate scholarships of $1,000 are awarded to academically outstanding students in the Department of Chemistry. Preference will be given, in descending order of priority, to a student who has: a) enrolled in the Chemistry Co-operative Program and/or b) demonstrated commitment to ongoing voluntary service in the community and/or c) demonstrated leadership by contributing to the social and academic environment within the Department of Chemistry. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Chemistry.",Varies,"Chemistry Co-op, community service, leadership",Chemistry,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Mary Dorothy Jones Bessex Award*,In-Course,TRUE,One or more awards are given to entering or continuing undergraduate students in the Bachelor of Music program who are specializing in piano. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,Varies,"Financial need, piano specialization",Music,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Matthew Prentice Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding students entering or continuing in the Bachelor of Music Program, and whose performance area is brass, piano or voice. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.",Varies,Financial need,Music,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Michael Hayes Award in Public Health and Social Policy,In-Course,TRUE,One or more awards are given to undergraduate students in the School of Public Health & Social Policy who have a demonstrated interest in health equity. Preference is for students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Public Health & Social Policy.,Varies,Financial need,Public Health & Social Policy,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Michaela Tokarski Entrepreneurship Award*,In-Course,TRUE,One or more awards are given to undergraduate Bachelor of Commerce students in the Peter B. Gustavson School of Business who are completing an entrepreneurial specialization or completing an entrepreneurial work term. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business. This award may go to a graduating student.,Varies,Financial need,Business,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Michiel Horn and Cornelia Schuh Scholarship*,In-Course,TRUE,"One or more scholarships of at least $2,500 are awarded to 3rd or 4th year Honours History or Honours History/English students. Preference will be given to students who can demonstrate financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of History.",Varies,Financial need,History/English,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,2500,FALSE,FALSE
Micqualyn Scholarship,In-Course,TRUE,"A scholarship of $500 is awarded to an academically outstanding undergraduate student entering the School of Exercise Science, Physical and Health Education who has a demonstrated volunteer involvement in the community. In addition to the application, students must submit a letter in which they describe their contributions to such volunteer organizations. Students must complete the on-line application and submit their letter to Student Awards and Financial Aid by May 31. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the School of Exercise Science, Physical and Health Education.",1,Volunteer involvement,"Exercise Science, Physical and Health Education",Not specified,Entering,Not specified,Not specified,Not specified,Not specified,Not specified,500,FALSE,FALSE
Mina Hoorfar Award for Indigenous Students in Engineering and Computer Science,In-Course,TRUE,"One award of $1,000 is given to an entering, transferring or continuing Indigenous undergraduate student in the Faculty of Engineering and Computer Science. Part time students (registered in a minimum of 6.0 units for credit in two terms) are eligible.Applicants must submit a letter (max 400 words) reflecting on:- How the see their degree empowering them to help others and their community and,- How a degree in engineering and computer science will help solve or contribute to solving global challengesApproval of the recipient is made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering and Computer Science.",1,Indigenous,Engineering and Computer Science,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Mrs. Annie Greskiw Scholarship in Pre-Medical Studies*,In-Course,TRUE,Two scholarships are awarded to academically outstanding undergraduate students who are proceeding to premedical studies at the year 3 or 4 level at the University of Victoria. Applicants must provide details of their plans for future medical school attendance on the application form.,2,Premedical studies,Not specified,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Mrs. Matilda M. Schill Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate students either entering from a college or university or continuing in the Faculty of Education, who have been admitted to a secondary teacher education program with an English teaching area or concentration. Preference will be given to a student with demonstrated financial need. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Education.",Varies,Financial need,Education,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Murray and Lynda Farmer Award for Critical Thinking*,In-Course,TRUE,"One or more awards are given to a continuing undergraduate student in the Faculty of Humanities with a declared Philosophy major who demonstrates originality, critical thinking, good work habits and organizational skills in their coursework, has a GPA of at least 5.0/9.0, and demonstrates community or on campus involvement through volunteerism. Applicants must submit:a personal statement (maximum 500 words) detailing both their volunteer experience and their originality, critical thinking, good work habits and organizational skills in their coursework. a letter of reference from a UVic Professor attesting to the student's originality, critical thinking, work habits, and organizational skills a letter of reference (maximum 300 words each) from a volunteer organization. Referees cannot be related to the applicant.Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Department of Philosophy.",Varies,"Philosophy major, GPA 5.0+, community/campus involvement",Humanities,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,5,Varies,FALSE,FALSE
Myrna and Terry Daniels Award in Indigenous Education*,In-Course,TRUE,"One or more awards of $2,000 each are given to Canadian-born Indigenous undergraduate students in the Faculty of Education entering or continuing in the Bachelor of Education in Indigenous Language Revitalization (BEd ILR) program. Applicants must submit a statement (a maximum of 500 words) describing their interest in/aspiration to become a K-12 teacher. Part-time students (registered in a minimum of 6.0 units for credit in two terms) are eligible. Preference will be given to students with demonstrated financial need. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Education.",Varies,"Indigenous, financial need",Education,Not specified,Not specified,Not specified,Indigenous,Not specified,Canadian,Not specified,2000,FALSE,FALSE
Myrna McEwen Daniels Scholarship*,In-Course,TRUE,"Four or more scholarships of a maximum of $2,000 each are awarded to academically outstanding undergraduate students entering second, third or fourth year and majoring in French. Preference will be given to students with demonstrated financial need. Students may receive this award more than once. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of French and Francophone Studies.",Varies,Financial need,French,Not specified,02/03/2004,Not specified,Not specified,Not specified,Not specified,Not specified,2000,FALSE,FALSE
Nelson Family Award*,In-Course,TRUE,One or more awards are given to entering or continuing undergraduate international students from sub-Saharan Africa with demonstrated financial need. Preference will be given to students in the Faculty of Human and Social Development.,Varies,"Financial need, from sub-Saharan Africa",Human and Social Development,Not specified,Not specified,Not specified,Not specified,Not specified,International,Not specified,Varies,FALSE,FALSE
Nina Dobbyn Award*,In-Course,TRUE,One or more awards are given to undergraduate students continuing in the School of Music who have demonstrated financial need and an interest in teaching music. Students with a GPA of 4.0/9.0 and above are eligible. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,Varies,"Financial need, interest in teaching music",Music,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,4,Varies,FALSE,FALSE
Norah and Calvin Banks Indigenous Leadership Award in the Sciences*,In-Course,TRUE,"One or more awards are given to undergraduate or graduate Indigenous students in the Faculty of Science, Faculty of Engineering and Computer Science or School of Environmental Studies, with preference to those who demonstrate leadership by encouraging/and or promoting Science, Technology, Engineering and Math (STEM) fields of study in Indigenous communities. Students who have done STEM work must submit a letter of reference from an Indigenous community leader outlining how they demonstrate leadership.Graduate applications may be obtained from the Faculty of Graduate Studies, Office of the Dean and must be submitted to the office by September 15th. Undergraduate students must apply via the online application by May 31st.Selection of the recipient(s) will be made by the Senate Committee on Awards or the Faculty of Graduate Studies Graduate Awards Committee upon recommendation of the Director of the Office of Indigenous Academic and Community Engagement (IACE) in consultation with the Dean of Faculty of Sciences, the Dean of the Faculty of Engineering, and the Director of the School of Environmental Studies.",Varies,"Indigenous, leadership in STEM",Science/Engineering/Environmental Studies,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
"Peninsula Co-op Exercise Science, Physical and Health Education Award",In-Course,TRUE,"A scholarship of $1,000 is awarded to an academically outstanding student pursuing a degree in the School of Exercise Science, Physical and Health Education who has contributed to their community and/or school in an outstanding way through volunteer or extra-curricular activities. The recipient must be a Peninsula Co-op member or the immediate family of a member. Immediate family of the student includes parents, step-parents, guardians, siblings, grandparents, uncles and aunts. Students and immediate family must have had active membership prior to September 1st of the previous year and must currently be in good standing with Peninsula Co-op.",1,Peninsula Co-op member/family,"Exercise Science, Physical and Health Education",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Phil Petersen Scholarship in Social Work,In-Course,TRUE,A scholarship of $500 is awarded to an academically outstanding 3rd or 4th year undergraduate Indigenous student in the School of Social Work. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the School of Social Work.,1,Indigenous,Social Work,Not specified,03-Apr,Not specified,Indigenous,Not specified,Not specified,Not specified,500,FALSE,FALSE
Phoenix Award,In-Course,TRUE,"Up to two awards, to a combined total of $6,000, are given to entering or continuing undergraduate students who are single parents with demonstrated financial need. Preference is for women students. Further preference is to students returning to studies at UVic after a break of more than 12 months. Part-time students (minimum 6.0 units) are eligible for this award. Recipients may only receive the award once.",2,"Single parent, financial need, women, returning after break",Not specified,Woman,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,6000,FALSE,FALSE
Phoenix Theatre Award*,In-Course,TRUE,One or more awards are given to undergraduate students in the Department of Theatre. Academic standing and contribution to the Department's activities will be considered. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Theatre.,Varies,Financial need,Theatre,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Pooni Family Award in Business,In-Course,TRUE,"An award of $1,000 is given to an academically outstanding undergraduate student continuing in the Peter B. Gustavson School of Business who demonstrates volunteer community involvement. Applicants must submit a statement (max 350 words) describing their community involvement. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business.",1,Volunteer community involvement,Business,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Pooni Family Award in Geography,In-Course,TRUE,"An award of $1,000 is given to an academically outstanding undergraduate student continuing in the Department of Geography who demonstrates volunteer community involvement. Applicants must submit a statement (max 350 words) describing their community involvement. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Department of Geography.",1,Volunteer community involvement,Geography,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Professional Employees Association (PEA) Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding full or part-time undergraduate students entering or continuing at the University of Victoria with a GPA of at least 4.0 and who are UVic PEA members or their dependants. Applicants must complete the online application by May 31.,Varies,UVic PEA member/dependant,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,4,Varies,FALSE,FALSE
RPIA ACE Finance Award for BIPOC Students,In-Course,TRUE,"One award of $5,000 is given to an undergraduate student in third or fourth year who self-identifies as Black, Indigenous or a Person of Colour (BIPOC), and has an interest in pursuing a career in the financial industry. Preference is for students with demonstrated financial need. Students with a GPA of 3.0 or above are eligible.",1,"BIPOC, financial need, interest in financial industry career",Not specified,Not specified,03-Apr,Not specified,Indigenous,Black/Person of Colour,Not specified,3,5000,FALSE,FALSE
"R.W. ""Bob"" McQueen Economics Award*",In-Course,TRUE,"Two or more awards of equal value are to be given to third or fourth year undergraduate students of different genders with a declared Major or Honours program in the Department of Economics. Each recipient is to be BC born, be a graduate of a BC public high school and have demonstrated financial need. If there are no eligible recipients, then the awards are to be given to entering first or second year students from outside the lower mainland and the greater Victoria area who were BC born, graduated from a BC public high school and have demonstrated financial need.",Varies,"Different genders, BC born, BC public high school graduate, financial need",Economics,Not specified,3/4 or 1/2,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Raincoast Conservation Award,In-Course,TRUE,"One or more awards are given to Indigenous undergraduate students born in Canada who are continuing in the Department of Geography who have: an interest in conservation, demonstrated through their classes/learning or through volunteering, and demonstrated financial need. If there are no eligible candidates, the award will be given to Indigenous undergraduate students born in Canada who are continuing in the Faculty of Social Sciences who have: an interest in conservation, demonstrated through their classes/learning or through volunteering, and demonstrated financial need. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Social Sciences.",Varies,"Indigenous, born in Canada, interest in conservation, financial need",Geography or Social Sciences,Not specified,Not specified,Not specified,Indigenous,Not specified,Canadian,Not specified,Varies,FALSE,FALSE
Ramona Williams Memorial Scholarship in Child and Youth Care,In-Course,TRUE,"A scholarship in the sum of $1,000 is awarded to an academically outstanding undergraduate Indigenous student in the School of Child and Youth Care. Preference will be given to students from the Cowichan Nation. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the School of Child and Youth Care.",1,"Indigenous, preference for Cowichan Nation",Child and Youth Care,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Ramona Williams Memorial Scholarship in Social Work,In-Course,TRUE,"A scholarship in the sum of $1,000 is awarded to an academically outstanding undergraduate Indigenous student in the School of Social Work. Preference will be given to students from the Cowichan Nation. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the School of Social Work.",1,"Indigenous, preference for Cowichan Nation",Social Work,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Reliable Controls Award in Computer Science*,In-Course,TRUE,One or more awards are given to undergraduate students entering or continuing in the Department of Computer Science. Preference will be given to students with demonstrated financial need.,Varies,Financial need,Computer Science,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Riley Jane Elholm Memorial Scholarship in Civil Engineering*,In-Course,TRUE,"Two scholarships of at least $1,000 each are awarded to academically outstanding undergraduate students entering 2nd, 3rd, or 4th year in the Department of Civil Engineering. Award selection will include consideration of students' extracurricular activities in the engineering student community. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Civil Engineering.",2,Extracurricular activities,Civil Engineering,Not specified,02/03/2004,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Rita Perry Hammett Award*,In-Course,TRUE,One or more awards are given to entering or continuing undergraduate students in the Department of Writing. Approval of the recipients will be made by the Senate Committee on Awards. Preference will be given to students with demonstrated financial need.,Varies,Financial need,Writing,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Robert and Audrey Harry Indigenous Scholarship in Nursing*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding Indigenous undergraduate students in the School of Nursing. Students registered in at least 4.50 academic units are eligible for this scholarship. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Nursing.,Varies,Indigenous,Nursing,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Roberta Evelyn Milnes Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students in the Faculty of Human and Social Development who volunteer in the community. Preference will be given to students with demonstrated financial need. Nominations will be made by the Faculty of Human and Social Development.,Varies,"Volunteer in community, financial need",Human and Social Development,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Roberta Taylor Scholarship*,In-Course,TRUE,A scholarship is awarded to an undergraduate student in the School of Social Work who is participating in either on-campus or distance education programs. Preference will be given to a mature student returning to school with a young family. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the School of Social Work.,1,Mature student with young family,Social Work,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Robyn Kathleen Addison Scholarship in Environmental Studies,In-Course,TRUE,One or more scholarships are awarded to undergraduate women students continuing in the School of Environmental Studies who have demonstrated financial need.,Varies,Financial need,Environmental Studies,Woman,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Royal Jubilee Hospital School of Nursing Alumnae Association Student Award*,In-Course,TRUE,"One or more awards are given to undergraduate or graduate students continuing in the School of Nursing or enrolled in a program related to Nursing in either Health Information Science or the School of Public Health and Social Policy. Eligibility is based on the following order or priority: 1. Alumnae of the Royal Jubilee School of Nursing 2. Descendants of an alumna of the Royal Jubilee School of Nursing. Applicants must state their relationship to the alumna, their alumna's maiden name (if applicable) and the year the alumna graduated, 3. Undergraduate students in the BSN program. Undergraduate students can apply via the online transfer application via MyPage under Student Awards and Financial Aid. Graduate students can apply by April 30 at the Dean of Human and Social Development office. Approval of the recipients will be made by either the Senate Committee on Awards or the Faculty of Graduate Studies Graduate Awards Committee, upon the recommendation of the Faculty of Human and Social Development. Undergraduate students registered in at least 4.50 academic units and graduate students registered in at least 3.0 academic units are eligible for this scholarship.",Varies,"Alumnae/descendants of alumnae of Royal Jubilee School of Nursing, BSN students",Nursing/Health Information Science/Public Health and Social Policy,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Saanich Employees Benefit Association Award,In-Course,TRUE,"One or more awards of $1,000 each are given to full or part-time entering or continuing undergraduate or graduate students who are members or dependants of members of the Saanich Employees Benefit Association (SEBA) and have demonstrated financial need. Undergraduate students apply via the online application. Graduate students can apply via Online Tools, online graduate scholarship application between July 1st and September 15th. In the case of an undergraduate nominee, approval of the recipient(s) will be made by the Senate Committee on Awards; in the case of a graduate nominee, approval of the recipient(s) will be made by the Graduate Awards Committee.",Varies,"SEBA members/dependants, financial need",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Scholarship Beyond Boundaries*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate honours, major, or minor students in any faculty whose academic interests are interdisciplinary in nature. Applicants will submit a description of their interdisciplinary work (i.e. honours thesis, directed studies, interdisciplinary studies, etc.), as well as a letter of recommendation from a professor to support the applicant's ability to make connections between different academic disciplines and capacity for critical thinking.",Varies,Interdisciplinary academic interests,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
School of Public Health and Social Policy Student Award*,In-Course,TRUE,One or more awards are given to undergraduate students in the School of Public Health and Social Policy who are single parents from Western Canada. Preference is given to students with demonstrated financial need.,Varies,"Single parent from Western Canada, financial need",Public Health and Social Policy,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Sellemah Scholarship*,In-Course,TRUE,"One or more scholarships, of at least $1,000 each, are awarded to academically outstanding undergraduate Canadian-born Indigenous (First Nations, Métis or Inuit) students in the School of Environmental Studies. If no applicants meet this criteria, the scholarship will be awarded to Canadian-born Indigenous undergraduate students in the Faculty of Social Sciences.",Varies,Canadian-born Indigenous,Environmental Studies/Social Sciences,Not specified,Not specified,Not specified,Indigenous,Not specified,Canadian,Not specified,1000,FALSE,FALSE
Sharron Higgins Scholarship in the School of Nursing*,In-Course,TRUE,"A scholarship is awarded to an academically outstanding undergraduate student who is entering their 3rd year in the School of Nursing and intends to complete 4th year in the following year, and also who is a parent. Preference will be given to a student who is planning to practice in the field of Public Health Nursing. Students registered in at least 4.50 academic units are eligible for this scholarship. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the School of Nursing.",1,"Parent, planning to practice in Public Health Nursing",Nursing,Not specified,3,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Sharyl Yore Award*,In-Course,TRUE,"One or more awards are given to members of the University of Victoria Office, Technical and Child Care staff who hold a regular appointment, have completed their probationary period and are taking classes in order to pursue a UVic degree, diploma or certificate. First preference will be given to Exempt staff and second preference is given to members of CUPE 951 whose tuition and book costs are not fully covered by benefits received from the Career Development Fund. Preference will be given to recipients closest to completing their degree, diploma or certificate. This award will not be given to the same individual in successive years. Undergraduate applicants must complete the online application by May 31st. Graduate students apply via the online graduate application between July 1st and September 15th.",Varies,UVic staff pursuing degree/diploma/certificate,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Sheila Ryan and Eileen Ryan Award in Child and Youth Care*,In-Course,TRUE,"One or more awards are given to entering or continuing undergraduate or graduate students in the School of Child and Youth Care, with preference to students who have demonstrated financial need. Undergraduate students will apply through the online application via My Page. Graduate student applications must be submitted to the Faculty of Graduate Studies by June 15. Approval of undergraduate recipient(s) will be made by the Senate Committee on Awards. Approval of graduate recipient(s) will be made by the Faculty of Graduate Studies Graduate Awards Committee upon the recommendation of the School of Child and Youth Care.",Varies,Financial need,Child and Youth Care,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Sheila Ryan and Eileen Ryan Award in Health Information Science*,In-Course,TRUE,"One or more awards are given to entering or continuing undergraduate students in the School of Health Information Sciences, with preference to students who have demonstrated financial need. Students will apply through the online application via My Page. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the School of Health Information Sciences.",Varies,Financial need,Health Information Science,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Sheila Ryan and Eileen Ryan Undergraduate Award in Nursing*,In-Course,TRUE,"One or more awards are given to undergraduate students in the School of Nursing, with preference to students who have demonstrated financial need. Undergraduate students registered in at least 4.50 academic units are eligible for this scholarship. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the School of Nursing.",Varies,Financial need,Nursing,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Skeena Award in Creative Writing,In-Course,TRUE,One or more awards are given to transferring or continuing undergraduate students in a BFA in Writing with a focus on creative nonfiction or poetry and who have submitted a writing sample (maximum 2 pages). Preference will be given to applicants in the following order of priority: 1) A woman student who grew up in or has spent the majority of their life in rural and northern communities in Canada. Further preference will be given to a student from Northern British Columbia (North of 50° N). 2) An Indigenous student who grew up or has spent the majority of their life in rural and northern communities in Canada. Further preference will be given to a student from Northern British Columbia (North of 50° N). Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Department of Writing.,Varies,"Woman from rural/northern Canada (preference Northern BC), Indigenous from rural/northern Canada (preference Northern BC)",Writing,Woman,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
SMONEĆ Natural Sciences Scholarship,In-Course,TRUE,"A scholarship of $2,000 is awarded to an academically outstanding undergraduate student in the Faculty of Science. Preference will be given to an Indigenous student from nations whose territory is fully or in part located within the borders of Canada. Students may receive this award more than once. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Science.",1,Indigenous,Science,Not specified,Not specified,Not specified,Indigenous,Not specified,Canadian,Not specified,2000,FALSE,FALSE
Social Justice Award,In-Course,TRUE,One or more awards are given to academically outstanding students in the Faculty of Social Sciences entering their third or fourth year who have demonstrated financial need. Students must provide an essay (maximum 500 words) explaining how their studies will assist them to pursue a career in social justice. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Social Sciences.,Varies,"Financial need, pursuing career in social justice",Social Sciences,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
